"","age","workclass","fnlwgt","education","educationnum","marital","occupation","relationship","race","sex","capgain","caploss","hoursperweek","nativecountry","incomebin"
"101",76,"Private",124191,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"106",32,"Self-emp-inc",317660,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",1
"109",31,"Local-gov",189265,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"116",53,"Private",95647,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States",0
"118",49,"Local-gov",197371,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",1
"130",39,"Private",365739,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
"144",45,"Private",196584,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1564,40,"United-States",1
"146",31,"Private",185814,"HS-grad",9,"Never-married","Transport-moving","Unmarried","Black","Female",0,0,30,"United-States",0
"151",47,"Local-gov",186009,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"Mexico",0
"153",33,"Private",163003,"Bachelors",13,"Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines",0
"156",48,"Private",187715,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States",0
"160",42,"Private",228456,"Bachelors",13,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States",0
"165",45,"Self-emp-not-inc",201080,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"167",39,"Federal-gov",235485,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,42,"United-States",0
"179",18,"Private",183930,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States",0
"185",37,"Federal-gov",29054,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,42,"United-States",1
"190",58,"State-gov",109567,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,1,"United-States",1
"193",41,"Local-gov",523910,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",0
"213",35,"Private",153790,"Some-college",10,"Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",0,0,40,"United-States",0
"215",54,"Self-emp-inc",125417,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",1
"227",60,"?",24215,"10th",6,"Divorced","?","Not-in-family","Amer-Indian-Eskimo","Female",0,0,10,"United-States",0
"228",66,"Self-emp-not-inc",167687,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,50,"United-States",0
"230",65,"Private",176796,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"234",33,"Private",110978,"Some-college",10,"Divorced","Craft-repair","Other-relative","Other","Female",0,0,40,"United-States",0
"238",41,"Private",180138,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"Iran",1
"243",24,"State-gov",273905,"Assoc-acdm",12,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,50,"United-States",0
"251",41,"Private",112763,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",1
"253",59,"Local-gov",171328,"10th",6,"Widowed","Other-service","Unmarried","Black","Female",0,0,30,"United-States",0
"256",42,"Self-emp-not-inc",303044,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"Cambodia",1
"261",36,"Private",150042,"Bachelors",13,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States",0
"269",33,"Private",185480,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States",0
"277",44,"Private",170924,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,"United-States",1
"279",25,"Private",193787,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States",0
"284",60,"Private",173960,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,42,"United-States",0
"286",57,"Federal-gov",425161,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States",1
"290",50,"Private",193884,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Ecuador",0
"296",65,"Private",111095,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,16,"United-States",0
"303",31,"Private",217460,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",1
"313",19,"?",860348,"Some-college",10,"Never-married","?","Own-child","Black","Female",0,0,25,"United-States",0
"316",24,"Private",191954,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States",0
"323",35,"Private",186110,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,45,"United-States",0
"325",76,"Self-emp-not-inc",174309,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,10,"United-States",0
"336",17,"Private",270942,"5th-6th",3,"Never-married","Other-service","Other-relative","White","Male",0,0,48,"Mexico",0
"342",38,"Private",296478,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,"United-States",1
"346",43,"Self-emp-not-inc",241895,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,42,"United-States",0
"354",46,"Local-gov",329752,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,30,"United-States",0
"355",59,"?",372020,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States",1
"361",36,"Private",348022,"10th",6,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,24,"United-States",0
"370",39,"Private",481060,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States",0
"391",35,"Private",220098,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States",1
"394",34,"State-gov",98101,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,45,"?",1
"396",44,"Private",115562,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",0
"402",28,"Private",108574,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"411",41,"Local-gov",42346,"Some-college",10,"Divorced","Other-service","Not-in-family","Black","Female",0,0,24,"United-States",0
"415",31,"State-gov",1033222,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",0
"418",30,"Private",426017,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,19,"United-States",0
"423",32,"State-gov",92003,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",1
"428",23,"Private",204653,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,72,"Dominican-Republic",0
"431",80,"?",107762,"HS-grad",9,"Widowed","?","Not-in-family","White","Male",0,0,24,"United-States",0
"432",17,"?",202521,"11th",7,"Never-married","?","Own-child","White","Male",0,0,40,"United-States",0
"437",34,"Local-gov",284843,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","Black","Male",594,0,60,"United-States",0
"438",34,"Local-gov",117018,"Some-college",10,"Never-married","Protective-serv","Not-in-family","White","Female",0,0,40,"United-States",0
"440",42,"Local-gov",340148,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",0
"443",24,"Federal-gov",191073,"HS-grad",9,"Never-married","Armed-Forces","Own-child","White","Male",0,0,40,"United-States",0
"444",44,"Private",116632,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",1
"452",45,"Self-emp-inc",197332,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,"United-States",1
"454",42,"Private",197583,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,40,"?",1
"456",40,"Private",72887,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",1
"468",38,"Private",33983,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",0
"472",22,"?",139883,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,40,"United-States",0
"482",43,"Self-emp-not-inc",170721,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,20,"United-States",0
"483",28,"State-gov",70100,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,20,"United-States",0
"486",25,"Private",189775,"Some-college",10,"Married-spouse-absent","Adm-clerical","Own-child","Black","Female",0,0,20,"United-States",0
"487",63,"?",401531,"1st-4th",2,"Married-civ-spouse","?","Husband","White","Male",0,0,35,"United-States",0
"488",59,"Local-gov",286967,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",0
"493",35,"Private",32220,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,60,"United-States",0
"498",23,"Private",403107,"5th-6th",3,"Never-married","Other-service","Own-child","White","Male",0,0,40,"El-Salvador",0
"500",72,"?",303588,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,20,"United-States",0
"501",23,"Local-gov",324960,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"Poland",0
"505",25,"Private",181054,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States",0
"512",53,"?",251804,"5th-6th",3,"Widowed","?","Unmarried","Black","Female",0,0,30,"United-States",0
"513",32,"Private",37070,"Assoc-voc",11,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States",0
"525",44,"Private",177905,"Some-college",10,"Divorced","Machine-op-inspct","Unmarried","White","Male",0,0,58,"United-States",1
"531",44,"Private",109339,"11th",7,"Divorced","Machine-op-inspct","Unmarried","Other","Female",0,0,46,"Puerto-Rico",0
"550",28,"Private",184831,"Some-college",10,"Never-married","Craft-repair","Unmarried","White","Male",0,0,40,"United-States",0
"552",36,"Self-emp-not-inc",27053,"HS-grad",9,"Separated","Other-service","Unmarried","White","Female",0,0,40,"United-States",0
"559",34,"Private",148291,"HS-grad",9,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,32,"United-States",0
"561",28,"Private",114053,"Bachelors",13,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,55,"United-States",0
"574",37,"Private",22463,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"United-States",1
"577",18,"?",165532,"12th",8,"Never-married","?","Own-child","White","Male",0,0,25,"United-States",0
"582",57,"Private",69884,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"583",59,"Private",199713,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"586",21,"Private",197747,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,24,"United-States",0
"596",27,"Private",267147,"HS-grad",9,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States",0
"604",42,"Local-gov",175674,"9th",5,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States",0
"605",35,"Self-emp-not-inc",194404,"Assoc-acdm",12,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States",0
"607",51,"Private",410114,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
"616",39,"Private",207824,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,60,"United-States",0
"620",46,"Private",102388,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,45,"United-States",1
"626",30,"Private",124187,"HS-grad",9,"Never-married","Farming-fishing","Own-child","Black","Male",0,0,60,"United-States",0
"627",34,"Private",153614,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",1
"630",49,"Private",268090,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,26,"United-States",1
"635",58,"Self-emp-not-inc",35723,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",0
"649",58,"?",158611,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,50,"United-States",0
"655",27,"Private",288341,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,32,"United-States",0
"668",42,"Private",247019,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",1
"675",50,"Self-emp-inc",219420,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",1
"687",66,"?",149422,"7th-8th",4,"Never-married","?","Not-in-family","White","Male",0,0,4,"United-States",0
"688",45,"Local-gov",86644,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,55,"United-States",0
"689",41,"Private",195124,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,35,"Dominican-Republic",0
"690",26,"Private",167350,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Male",0,0,30,"United-States",0
"694",20,"Private",316702,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States",0
"696",25,"?",202480,"Assoc-acdm",12,"Never-married","?","Other-relative","White","Male",0,0,45,"United-States",0
"697",35,"Private",203628,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,60,"United-States",1
"708",45,"Private",242552,"Some-college",10,"Never-married","Sales","Not-in-family","Black","Male",0,0,40,"United-States",0
"710",18,"Private",208103,"11th",7,"Never-married","Other-service","Other-relative","White","Male",0,0,25,"United-States",0
"716",31,"Private",295697,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,40,"United-States",0
"718",19,"State-gov",378418,"HS-grad",9,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States",0
"725",42,"Private",162140,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,45,"United-States",1
"729",31,"Private",223212,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Mexico",0
"730",65,"Self-emp-not-inc",118474,"11th",7,"Married-civ-spouse","Exec-managerial","Husband","White","Male",9386,0,59,"?",1
"731",23,"Private",352139,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,24,"United-States",0
"732",55,"Private",173093,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"United-States",0
"733",26,"Private",181655,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2377,45,"United-States",0
"734",25,"Private",332702,"Assoc-voc",11,"Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States",0
"736",35,"Private",234901,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",2407,0,40,"United-States",0
"737",36,"Private",131414,"Some-college",10,"Never-married","Sales","Not-in-family","Black","Female",0,0,36,"United-States",0
"739",56,"Private",156052,"HS-grad",9,"Widowed","Other-service","Unmarried","Black","Female",594,0,20,"United-States",0
"740",42,"Private",279914,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",1
"742",55,"Self-emp-not-inc",200939,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,72,"United-States",0
"748",32,"Private",267736,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,40,"United-States",0
"757",54,"Private",285854,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",1
"760",37,"Private",103408,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","Black","Male",0,0,40,"United-States",0
"765",51,"Private",386773,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,55,"United-States",1
"770",32,"Private",188557,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States",0
"773",31,"Private",244147,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,55,"United-States",0
"774",37,"Private",280282,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,24,"United-States",1
"775",55,"Private",116442,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,38,"United-States",0
"779",43,"Private",226902,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",1
"781",43,"State-gov",146908,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"?",0
"786",42,"Private",169628,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,38,"United-States",0
"791",48,"Private",102102,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States",1
"794",23,"Private",211046,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",2463,0,40,"United-States",0
"806",32,"Private",231043,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,48,"United-States",1
"813",43,"Private",94113,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,45,"United-States",0
"815",17,"Private",32607,"10th",6,"Never-married","Farming-fishing","Own-child","White","Male",0,0,20,"United-States",0
"819",64,"Private",169871,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",0
"820",47,"Private",191277,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",1
"830",24,"Self-emp-inc",165474,"Bachelors",13,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States",0
"832",53,"Private",194259,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",4386,0,40,"United-States",1
"839",24,"Private",321435,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States",0
"841",17,"Private",198124,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States",0
"846",43,"Private",102895,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
"848",37,"Private",86551,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",1
"849",39,"Private",138192,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"852",26,"Private",90980,"Assoc-voc",11,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,55,"United-States",0
"855",48,"State-gov",327886,"Doctorate",16,"Divorced","Prof-specialty","Own-child","White","Male",0,0,50,"United-States",1
"861",18,"Private",216284,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,20,"United-States",0
"863",48,"Private",285335,"11th",7,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",0
"865",33,"Private",80945,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",0
"866",24,"Private",309055,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,15,"United-States",0
"875",55,"Private",282753,"5th-6th",3,"Divorced","Other-service","Unmarried","Black","Male",0,0,25,"United-States",0
"877",23,"Private",153044,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,7,"United-States",0
"888",33,"Self-emp-inc",155781,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"?",0
"896",40,"Private",170108,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"906",46,"Private",171550,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,38,"United-States",0
"908",24,"Private",202570,"Bachelors",13,"Never-married","Prof-specialty","Own-child","Black","Male",0,0,15,"United-States",0
"914",34,"Private",175878,"Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
"916",39,"Private",202027,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,45,"United-States",1
"918",67,"Self-emp-inc",76860,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",1
"942",35,"Private",465507,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,40,"United-States",0
"948",36,"Self-emp-inc",108293,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1977,45,"United-States",1
"959",33,"Self-emp-not-inc",123424,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"963",32,"Private",288273,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,70,"Mexico",0
"964",36,"Private",526968,"10th",6,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States",0
"970",36,"?",94954,"Assoc-voc",11,"Widowed","?","Not-in-family","White","Female",0,0,20,"United-States",0
"975",44,"Private",32185,"HS-grad",9,"Never-married","Transport-moving","Unmarried","White","Male",0,0,70,"United-States",0
"977",21,"Private",255957,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",4101,0,40,"United-States",0
"980",34,"Private",159929,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States",0
"984",60,"Self-emp-not-inc",154474,"HS-grad",9,"Never-married","Farming-fishing","Unmarried","White","Male",0,0,42,"United-States",0
"994",47,"Private",192835,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,50,"United-States",1
"999",40,"Private",82465,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",2580,0,40,"United-States",0
"1011",51,"Private",220537,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States",0
"1018",51,"Private",191965,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,32,"United-States",0
"1020",19,"?",117201,"HS-grad",9,"Never-married","?","Own-child","White","Male",0,0,30,"United-States",0
"1031",31,"Private",93106,"Assoc-voc",11,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"1037",66,"Self-emp-inc",150726,"9th",5,"Married-civ-spouse","Exec-managerial","Husband","White","Male",1409,0,1,"?",0
"1038",37,"Private",123785,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,75,"United-States",0
"1042",23,"Private",137994,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,40,"United-States",0
"1052",53,"Self-emp-not-inc",263925,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"Canada",1
"1053",30,"Private",296453,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",7298,0,40,"United-States",1
"1065",49,"Private",175958,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,80,"United-States",1
"1076",19,"Self-emp-not-inc",36012,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0,0,20,"United-States",0
"1077",27,"Private",137645,"Bachelors",13,"Never-married","Sales","Not-in-family","Black","Female",0,1590,40,"United-States",0
"1089",42,"Private",150533,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,52,"United-States",1
"1090",38,"Private",412296,"HS-grad",9,"Divorced","Craft-repair","Own-child","White","Male",0,0,28,"United-States",0
"1097",62,"Private",92178,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",0
"1098",19,"?",80710,"HS-grad",9,"Never-married","?","Own-child","White","Female",0,0,40,"United-States",0
"1100",43,"Private",182254,"Some-college",10,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States",0
"1104",41,"Private",118619,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,50,"United-States",0
"1111",35,"Self-emp-inc",289430,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"Mexico",1
"1118",41,"Private",227644,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",0
"1125",48,"Private",95244,"Some-college",10,"Divorced","Other-service","Unmarried","Black","Female",0,0,35,"United-States",0
"1126",20,"Private",117606,"Assoc-voc",11,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",0
"1134",37,"Private",189382,"Assoc-voc",11,"Never-married","Adm-clerical","Own-child","White","Female",0,0,38,"United-States",0
"1135",42,"?",184018,"Some-college",10,"Divorced","?","Unmarried","White","Male",0,0,40,"United-States",0
"1140",41,"Private",328447,"1st-4th",2,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"Mexico",0
