"","Are.entrepreneurs.born.or.made.","When.you.think.of.an.entrepreneur.which.word.comes.to.your.mind...select.one.","Main.influence.on.career.choice","Was.the.reason.for.leaving.your.previous.organization.employment.an.end.of.contract.","Lack.of.shared.information","No.urgency.to.finish","Little.motivation.to.produce","Low.quality.standards","Discrimination","To.overcome.career.barriers","Didn.t.fit.into.corporate.cultures","Left.for.more.respect","Left.to.be.in.charge","Left.to.regain.excitement","Left.to.get.recognition","Left.to.make.it.on.my.own","For.self.esteem","To.become.an.entrepreneur","For.freedom","To.balance.family.and.work","To.control.my.time","For.the.last.years.our.firm.had.produced.many.new.products.services","In.general..our.firm.was.very.often.the.first.to.introduce.new.products.services","Facing.competition..our.firm.normally.engaged.aggressive.actions.over.the.competitors","In.general..our.firm.adopted.a.very.competitive.posture.to.beat.the.competitors","In.general..our.firm.had.a.strong.emphasis.on.high.risk.projects.with.uncertain.returns","In.order.to.achieve.the.firm.s.objectives..the.impact.of.the.business.environment.caused.our.firm.to.adopt.strong.and.fearless.measures","In.case.of.insecure.decision.making.situations..our.firm.adopted.a.fearless.and.aggressive.position.to.increase.the.chance.of.exploiting.potential.opportunities","Our.firm.put.on.strong.emphasis.on.R.D.and.innovation.instead.of.focusing.on.marketing.of.current.products.services","The.changes.in.new.product.services.in.our.firm.were.quite.dramatic","RC2","RC1","RC3"
"13","No response","Risk-taker","The economy","Yes",1,1,2,2,1,6,2,1,2,2,4,1,1,1,3,5,4,1,1,2,1,3,4,1,3,3,-1.22086253561537,-0.576937587183638,-1.81327072038146
"14","Made","Hard-working","Personal experience","Yes",1,1,5,7,4,1,1,4,1,1,5,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,-2.3980617152797,-0.913036376939517,-0.426229698574997
"15","Born","Risk-taker","Personal experience","Yes",1,1,3,3,1,1,5,1,1,7,2,2,4,1,3,7,5,3,1,1,1,1,3,1,1,6,-1.56623126918194,-0.0300152043748128,-1.55161791389353
"16","Born","Risk-taker","Teachers or studies","Yes",7,5,7,7,4,6,7,7,4,7,7,1,6,4,7,4,7,1,1,1,1,1,1,1,1,1,-2.71050294353267,0.342347709321808,2.08711675610003
"17","No response","Rich","The economy","No",2,5,3,6,3,5,3,2,2,2,2,2,2,2,2,5,5,1,1,1,1,1,1,1,1,1,-2.21935854444443,-0.670175329497076,-0.394207488419375
"18","Made","Hard-working","Careers guidance","No",5,4,5,6,4,6,7,7,6,6,6,5,6,3,5,6,6,5,5,6,6,5,5,6,5,3,0.801189992226925,0.289561463043288,0.720723425173145
"19","Made","Motivated","Personal experience","No",4,4,6,5,5,7,3,4,6,6,7,5,5,4,5,5,5,5,5,5,6,5,6,5,6,6,1.11237093262005,0.168152148617582,0.258995201674404
"20","No response","Motivated","Careers guidance","No",3,4,5,6,5,6,5,7,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,6,-1.15737547327565,-1.1186849240048,1.28510953537079
"21","Born","Risk-taker","The economy","Yes",4,4,4,6,5,6,5,6,5,6,6,5,6,5,6,5,6,5,6,4,4,5,5,6,5,7,0.830877704045332,0.380306436281268,0.469194306229175
"22","Made","Motivated","Family or friends","No",5,7,7,5,7,6,5,7,4,5,6,4,5,5,7,7,7,3,4,4,4,4,4,4,4,4,-0.293972912654403,0.482934341784694,1.24213058278476
"23","Born","Risk-taker","The economy","No",2,1,3,1,1,1,1,1,1,3,5,1,7,1,7,1,1,3,4,3,3,6,3,2,4,4,-0.179348552063813,-0.770017273259691,-1.83321126893149
"24","No response","Risk-taker","Personal experience","No",7,4,7,7,5,4,7,7,6,7,6,2,6,1,2,6,6,1,2,2,2,2,2,2,2,2,-1.90250578070992,-0.419216590332506,2.12247004981079
"26","Made","Ambitious","The economy","No",5,3,6,6,6,5,2,3,1,2,4,4,3,4,2,2,2,4,4,5,4,6,5,4,6,2,0.668569368341833,-1.74831721519329,0.380961650451019
"27","Made","Risk-taker","The economy","No",6,2,6,5,6,3,4,5,5,2,2,4,4,4,6,7,7,4,4,4,4,4,4,4,4,4,-0.0455030830583802,0.0147835605539625,0.0738275193550473
"28","Born","Ambitious","Family or friends","No",3,3,6,4,1,4,4,6,7,4,3,5,3,4,7,3,7,5,4,3,3,4,3,3,4,3,-0.495269077612651,0.51940360269659,-0.424604578537689
"29","Made","Motivated","Family or friends","Yes",6,5,5,7,7,4,3,2,5,5,1,5,5,6,7,6,6,4,3,2,2,3,4,4,5,3,-0.649462607522588,0.634305606934026,0.180313654220208
"30","Made","Foxy ","Personal experience","No",1,2,5,6,2,2,1,3,5,6,4,5,4,4,3,4,3,3,3,1,2,3,3,3,3,2,-1.23326430752925,0.0763907816970482,-0.799732252734451
"31","Made","Risk-taker","Family or friends","No",5,5,7,6,6,6,5,4,5,5,7,6,7,7,7,7,7,5,5,4,4,4,5,4,6,6,0.35813035509933,1.03641255415151,0.725229139372821
"32","Made","Risk-taker","The economy","Yes",4,4,5,4,6,5,3,5,4,5,6,5,5,5,5,6,6,5,6,6,7,6,6,5,7,6,1.60817453709868,0.195073426120671,-0.220053476449999
"33","Made","Successful","Family or friends","Yes",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,4,4,4,4,4,4,4,4,4,0.0680160254814021,0.207123624686101,-0.369083685223765
"34","Made","Ambitious","The economy","Yes",5,5,5,5,5,5,5,5,6,5,6,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6,1.55909486363398,0.29568028613338,0.278086759425084
"35","Made","Risk-taker","Family or friends","No",4,4,4,4,4,4,5,4,4,6,6,5,5,4,4,4,4,4,4,4,4,4,5,4,5,5,0.318239455234427,-0.0664199537599575,-0.0698685000583182
"36","Made","Successful","Personal experience","Yes",1,1,4,6,2,5,2,2,1,2,1,1,2,1,4,6,6,4,5,3,3,4,2,2,2,2,-0.659565910146605,-0.802333176198275,-1.17184049722818
"37","No response","Risk-taker","Teachers or studies","No",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,2,2,2,2,2,-0.838695975277381,-0.341422785666963,-0.0259834247218675
"38","Made","Hard-working","Personal experience","No",4,4,3,3,1,7,2,5,6,5,5,5,6,5,6,6,6,3,3,4,2,4,3,4,4,3,-0.559311012082436,1.26411327597894,-0.881746735158572
"39","Made","Hard-working","Careers guidance","Yes",5,5,3,5,4,7,6,6,7,4,4,7,7,7,7,7,7,4,4,5,5,4,5,5,4,4,0.248389284422126,1.59263178157996,-0.158436071838065
"40","Born","Risk-taker","The economy","No",6,6,4,5,7,6,6,7,5,3,7,1,3,1,1,3,1,5,2,4,4,1,1,6,1,5,-0.279988858323737,-2.37890962783415,2.23871761550008
"41","Made","Hard-working","Personal experience","Yes",4,4,4,4,5,4,4,4,5,5,5,5,5,6,6,4,5,5,4,5,5,5,5,5,5,5,0.715264564395771,0.341286210655512,-0.347669836707605
"42","Made","Ambitious","Family or friends","Yes",4,3,2,3,6,3,4,5,3,3,2,2,5,1,3,4,4,6,3,5,5,4,4,4,2,2,0.237772904756242,-1.106616335134,-0.432932767131835
"43","Made","Risk-taker","Family or friends","No",4,4,4,5,7,7,7,4,7,4,6,7,7,5,7,7,7,7,1,7,7,1,4,4,7,3,0.354231867761415,1.38086694763686,-0.038435482022892
"44","Made","Hard-working","Teachers or studies","Yes",5,5,5,4,4,6,7,1,1,1,1,7,7,7,7,7,7,5,5,5,4,1,5,4,2,2,-0.0932627202159671,1.06158368828831,-0.852174984771128
"45","Made","Risk-taker","Personal experience","Yes",4,5,4,5,3,5,6,7,7,7,7,7,7,7,7,7,7,3,1,4,4,5,4,5,4,4,-0.529161258333935,1.96534884582472,0.0783582170562201
"46","Born","Risk-taker","The economy","No",6,6,4,5,7,6,6,7,5,3,7,1,3,1,1,3,1,5,2,4,4,1,1,6,1,5,-0.279988858323737,-2.37890962783415,2.23871761550008
"47","Made","Hard-working","The economy","No",5,5,7,6,7,5,4,6,6,6,6,6,7,5,7,7,7,6,6,7,6,6,6,6,6,7,1.53247774421687,0.669982460618953,0.774563264566085
"48","Made","Rich","Personal experience","No",2,7,5,1,1,3,1,1,1,7,7,2,1,1,1,6,6,4,4,4,6,4,4,5,5,5,0.751264685181795,-0.600231345322508,-1.3013173650849
"49","Made","Risk-taker","The economy","Yes",5,5,5,6,6,6,6,7,7,7,7,7,7,6,7,6,7,4,3,4,4,4,5,4,4,4,-0.326805805261515,1.45049311309264,0.889110147047083
"50","Made","Risk-taker","Family or friends","No",4,4,3,5,5,5,3,6,3,5,4,5,4,5,3,5,4,4,5,4,4,3,4,4,4,5,0.246995097082687,-0.339891231141609,0.00744412122222979
"52","Made","Hard-working","Personal experience","No",6,4,5,5,1,6,2,4,3,2,2,1,5,1,1,7,7,3,2,4,4,4,3,4,3,5,-0.109867149149908,-0.840166158376478,-0.109716867294266
"53","Made","Risk-taker","Family or friends","No",5,7,5,7,7,5,1,1,7,7,7,7,7,7,7,7,7,1,3,1,1,5,5,5,1,1,-1.52381952344494,2.06058907246578,0.188863614482096
"54","Born","Hard-working","The economy","Yes",5,5,5,5,4,6,6,6,6,6,6,6,6,5,6,7,7,4,5,5,5,5,5,5,5,5,0.541811997046443,0.99562088564744,0.36645100972427
"55","Made","Risk-taker","Personal experience","No",5,3,3,3,6,5,5,3,5,5,5,3,4,2,3,4,4,4,4,3,3,2,3,3,5,3,-0.351911889738242,-0.574415918664397,0.07916321964624
"56","Made","Ambitious","Family or friends","No",6,5,7,6,7,7,5,7,7,6,7,6,6,5,7,6,7,3,4,5,4,3,4,3,2,3,-0.718736509147865,0.976327961110115,1.44986529093438
"57","No response","Hard-working","The economy","No",4,4,5,3,4,5,3,4,4,5,7,4,4,5,1,3,4,4,4,3,3,6,4,4,6,6,0.46753723734586,-0.739420121972837,0.207436454534446
"58","Made","Hard-working","Personal experience","No",4,5,3,4,1,3,2,3,3,4,7,7,4,6,7,7,7,4,4,4,7,4,7,4,6,4,0.783363047711819,1.41848364512715,-1.74172543677731
"59","Born","Risk-taker","Careers guidance","No",4,4,5,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4,-0.182147316494561,-0.568436025608475,-0.309453219335062
"60","Made","Motivated","Personal experience","Yes",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2.14841707385976,0.797798344247662,1.71958669297499
"61","Made","Risk-taker","Family or friends","No",3,3,4,5,7,6,6,6,5,6,4,4,4,4,5,6,6,4,4,4,4,2,3,4,4,3,-0.443110473223315,0.296625351633503,0.336969113057644
"63","Made","Risk-taker","The economy","No",3,3,6,2,4,4,7,4,3,6,3,6,4,4,7,7,3,3,2,2,2,3,2,2,2,1,-1.61697666142119,0.650285814051107,-0.279233504457259
"64","Made","Hard-working","One person's interest","No",4,5,5,5,4,6,4,6,6,7,4,7,7,7,7,7,7,1,1,1,1,5,5,4,3,4,-1.37099658508834,2.00880994183293,0.0371572175274101
"65","Born","Ambitious","Family or friends","No",2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,2,3,4,4,4,4,4,4,-0.198743959020252,-1.00590180065177,-1.1357615453617
"66","Made","Risk-taker","Teachers or studies","No",5,5,6,4,7,4,7,6,4,4,4,5,4,4,6,6,6,4,4,4,4,5,4,4,4,3,-0.0883438566879958,0.0103454109056417,0.762034496141456
"67","Made","Ambitious","The economy","Yes",5,5,5,5,6,6,6,3,2,2,2,2,6,6,5,6,5,2,3,4,4,4,5,4,5,5,0.0851926281695062,-0.26868011495201,0.263681992343314
"68","Born","Risk-taker","Personal experience","No",2,3,3,4,4,4,4,5,5,5,4,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,-0.0970994401849188,1.0180383440029,-0.909037701515538
"69","No response","Hard-working","Personal experience","No",5,5,5,5,5,4,4,4,4,4,4,4,6,5,4,6,6,6,5,5,5,5,6,6,6,5,1.23396227327892,-0.0953253274446789,0.00979257006924703
"70","Made","Hard-working","Family or friends","No",5,4,5,5,5,5,4,3,4,4,3,4,4,5,6,3,4,4,5,5,4,4,5,4,4,4,0.389504808344,-0.363875779274487,0.0321398783257313
"71","Made","Ambitious","The economy","Yes",5,5,6,6,5,4,5,5,6,7,5,4,5,6,6,6,7,4,5,5,4,6,5,5,6,5,0.565101852552387,0.587622845995588,0.550382724515282
"72","Made","Ambitious","Careers guidance","Yes",4,4,4,4,4,4,4,4,4,4,6,5,5,5,3,3,4,4,4,4,5,3,4,4,4,3,0.0748188998804796,-0.212970782468692,-0.197124104268301
"73","Made","Hard-working","Personal experience","No",4,4,3,5,5,3,4,4,3,4,3,3,3,5,5,5,4,4,4,4,4,5,5,5,5,4,0.487283689920999,-0.463450618299546,-0.366454817789462
"74","Made","Hard-working","The economy","Yes",4,4,5,4,2,6,3,4,3,5,5,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4,0.03499195317734,0.389876225086464,-0.503255653255032
"75","Born","Ambitious","Personal experience","Yes",6,2,4,7,7,6,4,6,5,5,4,5,4,4,4,5,5,5,6,2,2,2,5,2,5,6,-0.088664107909305,-0.430468882394739,0.977756921798347
"76","Made","Motivated","Personal experience","No",5,4,4,6,7,6,5,4,4,7,6,1,1,1,1,7,5,7,6,6,6,4,5,3,3,4,0.961811298596643,-1.51084885394227,0.984793944465826
"77","Made","Hard-working","Personal experience","Yes",3,3,5,3,1,3,6,4,3,6,6,7,5,4,2,1,3,7,5,1,3,1,3,6,2,5,-0.0886365269516687,-0.495378635123509,-0.156312514177437
"78","Made","Risk-taker","The economy","No",5,5,4,4,6,5,5,7,6,5,6,6,6,5,6,6,6,4,4,3,2,2,3,5,4,5,-0.489858407893491,0.768863453980386,0.612848137874664
"79","Made","Hard-working","Careers guidance","No",6,4,7,7,7,7,7,7,6,6,6,6,5,6,4,4,5,5,3,4,3,4,3,4,4,4,-0.356218794626648,-0.144775626003194,2.05276625502953
"80","Born","Motivated","Personal experience","No",4,4,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,5,2,4,4,7,7,0.585807669178315,1.7410928556579,0.00421726228833252
"81","Born","Motivated","Personal experience","No",4,4,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,5,2,4,4,7,7,0.585807669178315,1.7410928556579,0.00421726228833252
"82","Made","Hard-working","Personal experience","No",5,3,5,6,6,7,6,7,3,6,5,4,6,7,7,7,5,5,6,6,7,6,6,6,6,5,1.43382350520793,0.344947700440519,0.531445366052322
"83","Born","Hard-working","Careers guidance","Yes",4,4,6,4,5,7,5,5,5,7,7,7,7,4,7,7,7,3,3,3,3,3,3,2,3,3,-1.19487058709607,1.58575565014883,0.304675057304986
"84","Made","Risk-taker","Personal experience","No",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,0.7778513475867,-0.473857690487747,-0.32367379363952
"85","Made","Risk-taker","Family or friends","No",3,2,5,3,6,2,5,3,3,2,2,5,3,1,2,1,1,1,1,2,1,1,5,5,2,2,-1.14496608360656,-1.38407193033978,-0.203974270696964
"86","Made","Ambitious","Personal experience","No",5,5,2,2,2,3,2,2,2,2,2,6,2,2,2,6,6,7,4,4,4,4,4,4,5,5,0.908158564669292,-0.567114360103338,-1.48205151538415
"87","Born","Hard-working","Family or friends","No",4,6,4,4,3,5,1,1,1,2,3,3,4,4,3,4,3,4,1,4,4,3,4,4,4,3,-0.0420597335955234,-0.817088019711569,-0.767200181494557
"88","Made","Risk-taker","The economy","Yes",3,5,4,4,1,5,2,2,2,5,3,6,6,6,7,6,6,4,3,3,4,4,4,3,2,2,-0.602321509398158,1.33048565560632,-1.47937826726939
"89","Made","Risk-taker","Personal experience","No",6,5,6,7,6,6,5,5,5,4,5,4,4,5,3,6,6,5,5,6,6,3,5,5,6,5,0.975687248035525,-0.484726822515824,1.02948050705662
"90","Made","Risk-taker","Personal experience","No",5,4,4,4,5,4,4,6,6,6,4,4,4,4,4,4,4,4,6,3,4,5,4,4,5,5,0.383969780073187,-0.388243872065381,0.362634554876203
"91","Made","Ambitious","The economy","No",2,2,1,1,1,6,1,1,1,1,5,1,1,1,1,3,1,7,5,7,7,1,5,3,5,6,1.72482713668865,-2.06324345664829,-1.94073246008804
"92","Made","Risk-taker","The economy","No",5,4,6,6,5,6,5,6,6,5,6,4,5,4,4,5,5,4,3,4,4,3,4,3,3,3,-0.502346811578746,-0.104684399659154,1.06026979901083
"93","Born","Risk-taker","Personal experience","Yes",3,2,3,3,4,4,6,5,3,4,2,5,5,2,5,6,5,2,2,2,2,2,2,3,2,3,-1.42527462278313,0.324544471810874,-0.617597912850224
"94","Made","Hard-working","Teachers or studies","No",5,5,7,7,7,6,6,7,7,7,6,5,6,7,7,7,6,7,5,7,7,3,2,2,4,5,0.265026384096044,0.635249220081251,1.52758490578394
"95","Made","Motivated","The economy","Yes",6,5,6,6,7,5,6,7,6,7,6,7,6,6,7,7,6,6,7,5,6,6,6,6,7,6,1.45706445806324,0.710694220845772,1.04023995701389
"96","Made","Rich","Family or friends","No",4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,1.34360700495442,0.019489354950424,0.760008400530844
"97","Made","Motivated","Personal experience","No",4,5,4,5,4,5,4,4,5,4,4,5,4,5,5,5,5,4,3,4,4,4,4,4,4,4,-0.0501637750464811,0.191445550835035,-0.127195382851121
"98","Made","Risk-taker","The economy","No",4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0619155328389224,-0.52953376079808,-0.210199285272184
"99","Made","Risk-taker","Personal experience","Yes",5,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.116600564859308,-0.566244718093151,0.195548673189159
"100","Made","Risk-taker","Personal experience","No",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.138718135802006,-0.408517559438746,-0.210930767750692
"101","Made","Motivated","Personal experience","No",5,2,6,6,1,3,2,7,1,5,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,-2.25228011944614,-1.56552061926761,0.642215129237959
"102","No response","Risk-taker","Personal experience","No",4,4,7,6,7,7,7,6,7,7,7,6,6,6,7,6,6,4,4,6,5,7,4,4,4,6,0.311182312440422,0.817076517535759,1.30561907719665
"103","Made","Risk-taker","Personal experience","No",4,6,3,6,3,6,7,6,6,6,6,6,6,6,4,7,7,4,4,5,3,6,5,4,4,4,0.111536388707573,0.99830754370673,0.356367162473593
"104","Made","Motivated","The economy","Yes",5,6,7,6,7,7,1,1,7,7,7,4,1,1,7,1,1,2,4,2,2,1,1,1,1,1,-1.86651656824976,-0.754260515581749,1.38595842993045
"105","Born","Risk-taker","Careers guidance","No",5,5,4,4,4,4,4,5,2,4,4,5,5,5,2,1,6,1,1,4,2,2,3,2,1,1,-1.51539684636534,-0.149978191316859,0.0781974435071505
"106","Made","Ambitious","Dreams","No",4,4,4,4,4,6,5,1,2,7,1,7,1,7,6,7,6,7,7,7,7,3,5,6,7,6,1.92316394671523,0.543789234817541,-1.31045156349203
"107","Made","Risk-taker","Family or friends","Yes",4,4,5,4,4,5,5,4,3,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,4,4,0.170775008703401,-0.0944062144662378,-0.0465660380704587
"108","Born","Independant","The economy","Yes",5,3,5,5,5,5,7,7,7,7,7,5,6,5,6,5,7,3,2,4,4,4,4,5,3,3,-0.632711521289287,1.02596901051857,0.714431806407796
"109","Made","Rich","Personal experience","Yes",7,6,7,7,2,7,7,7,7,7,6,7,5,7,7,5,7,7,5,4,5,7,7,6,7,7,1.4581017873664,0.757391092706806,1.28878364808794
"110","Made","combination of ambition and intelligence","Personal experience","No",5,4,5,6,1,4,2,5,5,5,4,5,3,7,7,4,6,3,5,5,5,2,4,6,2,1,-0.208043983097599,0.796300764281815,-0.63266801548532
"111","Made","Risk-taker","Teachers or studies","No",4,4,3,3,1,5,1,3,6,6,4,4,5,5,7,5,5,6,4,5,6,4,4,4,4,3,0.478695572138148,0.879625458362879,-1.4421115016514
"112","Made","Risk-taker","Personal experience","Yes",3,6,2,3,2,3,3,6,2,6,2,2,2,2,5,4,6,7,5,7,7,7,7,5,3,3,1.66270288007154,-0.624390339127112,-1.15112194179589
"113","Made","Motivated","Personal experience","Yes",4,4,5,4,4,5,3,4,3,4,4,5,5,6,5,5,5,5,4,4,4,4,6,5,4,3,0.38226402852535,0.250582611920884,-0.505872542672323
"114","Made","Ambitious","Personal experience","Yes",3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,3,4,4,4,2,4,4,3,4,4,3,-0.182480429633187,-0.440619907491367,-1.01868686783549
"115","No response","Risk-taker","Personal experience","No",1,1,1,1,1,7,1,1,7,5,3,7,3,7,4,1,4,1,1,6,7,1,4,7,1,1,-0.281126159834012,1.37830010569084,-2.97016558414205
"116","Born","Risk-taker","Personal experience","Yes",5,2,7,7,1,1,7,3,4,4,1,1,1,1,4,4,1,4,4,5,5,4,6,4,5,1,0.411352781702226,-1.86109805485712,0.209942847821283
"117","Born","Ambitious","Grace","No",4,4,4,6,2,4,6,6,4,6,1,6,4,4,4,4,6,4,4,4,4,6,4,4,5,4,0.232699579422222,0.0600142717824088,-0.117763317628755
"118","Born","Risk-taker","Family or friends","No",4,4,5,4,6,6,6,6,6,6,7,7,7,6,7,5,6,6,6,5,5,4,4,4,5,4,0.439178962169685,1.05570425545534,0.366733357758206
"119","Born","Hard-working","The economy","Yes",5,2,2,7,6,7,5,4,6,7,5,7,7,7,5,6,5,6,6,4,6,4,5,6,5,4,0.84561307582763,0.989187926527387,-0.0909114811080324
"120","No response","Motivated","Careers guidance","No",3,3,5,5,3,6,4,4,7,6,6,7,5,5,3,6,5,4,4,5,4,6,5,4,4,3,0.176026474290423,0.71418118377837,-0.261854247906874
"121","Made","Motivated","Personal experience","No",2,3,6,7,7,6,5,7,6,6,7,7,5,7,6,4,6,1,1,1,3,2,1,4,7,3,-1.61989407134547,1.20045570204318,0.845243822373987
"122","Made","Motivated","Personal experience","Yes",5,5,4,6,5,6,4,4,5,4,4,5,5,4,6,5,5,4,5,5,6,6,4,5,6,6,0.978814362485408,-0.0209022598555806,0.191570743368598
"123","Made","Ambitious","Personal experience","Yes",4,3,6,2,7,4,5,6,4,4,3,4,7,7,7,7,7,4,3,5,7,5,6,7,6,7,1.12730042396972,0.853697432672402,-0.469855522406626
"124","Made","Hard-working","Careers guidance","No",5,5,5,5,5,5,5,5,5,5,3,5,5,6,2,5,5,4,4,4,4,4,4,4,4,4,0.0672583867279281,-0.151754691029285,0.500528515627719
"125","Made","Risk-taker","The economy","No",1,3,2,2,2,5,5,6,3,2,2,2,2,2,2,6,6,4,2,6,6,2,3,2,2,2,-0.284813190643884,-0.465532794694518,-1.30887433928146
"126","Made","Risk-taker","Family or friends","No",1,1,7,5,7,7,1,1,4,4,4,5,5,2,2,7,5,1,3,1,2,1,2,1,4,2,-1.80234735855235,0.230114745476559,-0.366914962249639
"127","No response","Hard-working","Careers guidance","No",5,4,7,5,5,5,6,7,4,4,5,3,4,3,3,6,4,7,6,4,5,4,4,4,3,6,0.708901320362906,-1.27352849286209,1.38426118082357
"128","No response","Ambitious","The economy","Yes",3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,3,-0.123786375500152,-0.534276939089233,-0.302472630993878
"129","Made","Motivated","The economy","No",4,4,1,6,1,6,2,2,2,5,4,1,1,1,1,1,5,1,4,6,5,1,2,4,6,5,0.274182634683716,-1.3493329843238,-0.767359899661521
"130","Made","Hard-working","Careers guidance","Yes",7,2,4,7,7,4,7,7,1,4,4,1,4,1,4,1,3,5,4,1,1,7,5,6,2,2,-0.145193268727162,-2.20173465018751,1.83054650319606
"131","Made","Ambitious","The economy","No",4,4,5,6,6,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,3,2,2,-0.977247887087163,0.229121252866751,0.563972054038632
