Are entrepreneurs born or made?,When you think of an entrepreneur which word comes to your mind? (select one),Main influence on career choice,Was the reason for leaving your previous organization/employment an end of contract?,Lack of shared information ,No urgency to finish ,Little motivation to produce, Low quality standards, Discrimination ,To overcome career barriers ,Didn't fit into corporate cultures, Left for more respect ,Left to be in charge, Left to regain excitement ,Left to get recognition ,Left to make it on my own ,For self-esteem ,To become an entrepreneur ,For freedom ,To balance family and work ,To control my time,For the last years our firm had produced many new products/services,"In general, our firm was very often the first to introduce new products/services","Facing competition, our firm normally engaged aggressive actions over the competitors","In general, our firm adopted a very competitive posture to beat the competitors","In general, our firm had a strong emphasis on high risk projects with uncertain returns","In order to achieve the firm’s objectives, the impact of the business environment caused our firm to adopt strong and fearless measures","In case of insecure decision-making situations, our firm adopted a fearless and aggressive position to increase the chance of exploiting potential opportunities",Our firm put on strong emphasis on R&D and innovation instead of focusing on marketing of current products/services ,The changes in new product/services in our firm were quite dramatic
Made,Ambitious,Family or friends,No,6,4,5,5,7,6,2,6,7,7,7,5,6,4,4,7,6,2,5,6,6,4,5,,4,2
Made,Hard-working,Personal experience,No,6,4,5,5,1,6,2,4,3,2,2,1,5,1,1,7,7,3,2,4,4,4,3,4,3,5
Made,Risk-taker,Family or friends,No,5,7,5,7,7,5,1,1,7,7,7,7,7,7,7,7,7,1,3,1,1,5,5,5,1,1
Born,Hard-working,The economy,Yes,5,5,5,5,4,6,6,6,6,6,6,6,6,5,6,7,7,4,5,5,5,5,5,5,5,5
Made,Risk-taker,Personal experience,No,5,3,3,3,6,5,5,3,5,5,5,3,4,2,3,4,4,4,4,3,3,2,3,3,5,3
Made,Ambitious,Family or friends,No,6,5,7,6,7,7,5,7,7,6,7,6,6,5,7,6,7,3,4,5,4,3,4,3,2,3
No response,Hard-working,The economy,No,4,4,5,3,4,5,3,4,4,5,7,4,4,5,1,3,4,4,4,3,3,6,4,4,6,6
Made,Hard-working,Personal experience,No,4,5,3,4,1,3,2,3,3,4,7,7,4,6,7,7,7,4,4,4,7,4,7,4,6,4
Born,Risk-taker,Careers guidance,No,4,4,5,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4
Made,Motivated,Personal experience,Yes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Made,Risk-taker,Family or friends,No,3,3,4,5,7,6,6,6,5,6,4,4,4,4,5,6,6,4,4,4,4,2,3,4,4,3
Made,Risk-taker,The economy,No,1,1,1,2,1,4,2,5,6,5,6,1,2,1,1,3,1,5,6,6,6,2,2,,4,2
Made,Risk-taker,The economy,No,3,3,6,2,4,4,7,4,3,6,3,6,4,4,7,7,3,3,2,2,2,3,2,2,2,1
Made,Hard-working,One person's interest,No,4,5,5,5,4,6,4,6,6,7,4,7,7,7,7,7,7,1,1,1,1,5,5,4,3,4
Born,Ambitious,Family or friends,No,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,2,3,4,4,4,4,4,4
Made,Risk-taker,Teachers or studies,No,5,5,6,4,7,4,7,6,4,4,4,5,4,4,6,6,6,4,4,4,4,5,4,4,4,3
Made,Ambitious,The economy,Yes,5,5,5,5,6,6,6,3,2,2,2,2,6,6,5,6,5,2,3,4,4,4,5,4,5,5
Born,Risk-taker,Personal experience,No,2,3,3,4,4,4,4,5,5,5,4,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4
No response,Hard-working,Personal experience,No,5,5,5,5,5,4,4,4,4,4,4,4,6,5,4,6,6,6,5,5,5,5,6,6,6,5
Made,Hard-working,Family or friends,No,5,4,5,5,5,5,4,3,4,4,3,4,4,5,6,3,4,4,5,5,4,4,5,4,4,4
Made,Ambitious,The economy,Yes,5,5,6,6,5,4,5,5,6,7,5,4,5,6,6,6,7,4,5,5,4,6,5,5,6,5
Made,Ambitious,Careers guidance,Yes,4,4,4,4,4,4,4,4,4,4,6,5,5,5,3,3,4,4,4,4,5,3,4,4,4,3
Made,Hard-working,Personal experience,No,4,4,3,5,5,3,4,4,3,4,3,3,3,5,5,5,4,4,4,4,4,5,5,5,5,4
Made,Hard-working,The economy,Yes,4,4,5,4,2,6,3,4,3,5,5,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4
Born,Ambitious,Personal experience,Yes,6,2,4,7,7,6,4,6,5,5,4,5,4,4,4,5,5,5,6,2,2,2,5,2,5,6
Made,Motivated,Personal experience,No,5,4,4,6,7,6,5,4,4,7,6,1,1,1,1,7,5,7,6,6,6,4,5,3,3,4
Made,Hard-working,Personal experience,Yes,3,3,5,3,1,3,6,4,3,6,6,7,5,4,2,1,3,7,5,1,3,1,3,6,2,5
Made,Risk-taker,The economy,No,5,5,4,4,6,5,5,7,6,5,6,6,6,5,6,6,6,4,4,3,2,2,3,5,4,5
Made,Hard-working,Careers guidance,No,6,4,7,7,7,7,7,7,6,6,6,6,5,6,4,4,5,5,3,4,3,4,3,4,4,4
Born,Motivated,Personal experience,No,4,4,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,5,2,4,4,7,7
Born,Motivated,Personal experience,No,4,4,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,5,2,4,4,7,7
Made,Hard-working,Personal experience,No,5,3,5,6,6,7,6,7,3,6,5,4,6,7,7,7,5,5,6,6,7,6,6,6,6,5
Born,Hard-working,Careers guidance,Yes,4,4,6,4,5,7,5,5,5,7,7,7,7,4,7,7,7,3,3,3,3,3,3,2,3,3
Made,Risk-taker,Personal experience,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Made,Risk-taker,Family or friends,No,3,2,5,3,6,2,5,3,3,2,2,5,3,1,2,1,1,1,1,2,1,1,5,5,2,2
Made,Ambitious,Personal experience,No,5,5,2,2,2,3,2,2,2,2,2,6,2,2,2,6,6,7,4,4,4,4,4,4,5,5
Born,Hard-working,Family or friends,No,4,6,4,4,3,5,1,1,1,2,3,3,4,4,3,4,3,4,1,4,4,3,4,4,4,3
Made,Risk-taker,The economy,Yes,3,5,4,4,1,5,2,2,2,5,3,6,6,6,7,6,6,4,3,3,4,4,4,3,2,2
Made,Risk-taker,Personal experience,No,6,5,6,7,6,6,5,5,5,4,5,4,4,5,3,6,6,5,5,6,6,3,5,5,6,5
Made,Risk-taker,Personal experience,No,5,4,4,4,5,4,4,6,6,6,4,4,4,4,4,4,4,4,6,3,4,5,4,4,5,5
Made,Ambitious,The economy,No,2,2,1,1,1,6,1,1,1,1,5,1,1,1,1,3,1,7,5,7,7,1,5,3,5,6
Made,Risk-taker,The economy,No,5,4,6,6,5,6,5,6,6,5,6,4,5,4,4,5,5,4,3,4,4,3,4,3,3,3
Born,Risk-taker,Personal experience,Yes,3,2,3,3,4,4,6,5,3,4,2,5,5,2,5,6,5,2,2,2,2,2,2,3,2,3
Made,Hard-working,Teachers or studies,No,5,5,7,7,7,6,6,7,7,7,6,5,6,7,7,7,6,7,5,7,7,3,2,2,4,5
Made,Motivated,The economy,Yes,6,5,6,6,7,5,6,7,6,7,6,7,6,6,7,7,6,6,7,5,6,6,6,6,7,6
Made,Rich,Family or friends,No,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7
Made,Motivated,Personal experience,No,4,5,4,5,4,5,4,4,5,4,4,5,4,5,5,5,5,4,3,4,4,4,4,4,4,4
Made,Risk-taker,The economy,No,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Made,Risk-taker,Personal experience,Yes,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Made,Risk-taker,Personal experience,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Made,Motivated,Personal experience,No,5,2,6,6,1,3,2,7,1,5,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1
No response,Risk-taker,Personal experience,No,4,4,7,6,7,7,7,6,7,7,7,6,6,6,7,6,6,4,4,6,5,7,4,4,4,6
Made,Risk-taker,Personal experience,No,4,6,3,6,3,6,7,6,6,6,6,6,6,6,4,7,7,4,4,5,3,6,5,4,4,4
Made,Motivated,The economy,Yes,5,6,7,6,7,7,1,1,7,7,7,4,1,1,7,1,1,2,4,2,2,1,1,1,1,1
Born,Risk-taker,Careers guidance,No,5,5,4,4,4,4,4,5,2,4,4,5,5,5,2,1,6,1,1,4,2,2,3,2,1,1
Made,Ambitious,Dreams,No,4,4,4,4,4,6,5,1,2,7,1,7,1,7,6,7,6,7,7,7,7,3,5,6,7,6
Made,Risk-taker,Family or friends,Yes,4,4,5,4,4,5,5,4,3,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,4,4
Born,Independant,The economy,Yes,5,3,5,5,5,5,7,7,7,7,7,5,6,5,6,5,7,3,2,4,4,4,4,5,3,3
Made,Rich,Personal experience,Yes,7,6,7,7,2,7,7,7,7,7,6,7,5,7,7,5,7,7,5,4,5,7,7,6,7,7
Made,combination of ambition and intelligence,Personal experience,No,5,4,5,6,1,4,2,5,5,5,4,5,3,7,7,4,6,3,5,5,5,2,4,6,2,1
Made,Risk-taker,Teachers or studies,No,4,4,3,3,1,5,1,3,6,6,4,4,5,5,7,5,5,6,4,5,6,4,4,4,4,3
Made,Risk-taker,Personal experience,Yes,3,6,2,3,2,3,3,6,2,6,2,2,2,2,5,4,6,7,5,7,7,7,7,5,3,3
Made,Motivated,Personal experience,Yes,4,4,5,4,4,5,3,4,3,4,4,5,5,6,5,5,5,5,4,4,4,4,6,5,4,3
Made,Ambitious,Personal experience,Yes,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,3,4,4,4,2,4,4,3,4,4,3
No response,Risk-taker,Personal experience,No,1,1,1,1,1,7,1,1,7,5,3,7,3,7,4,1,4,1,1,6,7,1,4,7,1,1
Born,Risk-taker,Personal experience,Yes,5,2,7,7,1,1,7,3,4,4,1,1,1,1,4,4,1,4,4,5,5,4,6,4,5,1
Born,Ambitious,Grace,No,4,4,4,6,2,4,6,6,4,6,1,6,4,4,4,4,6,4,4,4,4,6,4,4,5,4
Born,Risk-taker,Family or friends,No,4,4,5,4,6,6,6,6,6,6,7,7,7,6,7,5,6,6,6,5,5,4,4,4,5,4
Born,Hard-working,The economy,Yes,5,2,2,7,6,7,5,4,6,7,5,7,7,7,5,6,5,6,6,4,6,4,5,6,5,4
No response,Motivated,Careers guidance,No,3,3,5,5,3,6,4,4,7,6,6,7,5,5,3,6,5,4,4,5,4,6,5,4,4,3
Made,Motivated,Personal experience,No,2,3,6,7,7,6,5,7,6,6,7,7,5,7,6,4,6,1,1,1,3,2,1,4,7,3
Made,Motivated,Personal experience,Yes,5,5,4,6,5,6,4,4,5,4,4,5,5,4,6,5,5,4,5,5,6,6,4,5,6,6
Made,Ambitious,Personal experience,Yes,4,3,6,2,7,4,5,6,4,4,3,4,7,7,7,7,7,4,3,5,7,5,6,7,6,7
Made,Hard-working,Careers guidance,No,5,5,5,5,5,5,5,5,5,5,3,5,5,6,2,5,5,4,4,4,4,4,4,4,4,4
Made,Risk-taker,The economy,No,1,3,2,2,2,5,5,6,3,2,2,2,2,2,2,6,6,4,2,6,6,2,3,2,2,2
Made,Risk-taker,Family or friends,No,1,1,7,5,7,7,1,1,4,4,4,5,5,2,2,7,5,1,3,1,2,1,2,1,4,2
No response,Hard-working,Careers guidance,No,5,4,7,5,5,5,6,7,4,4,5,3,4,3,3,6,4,7,6,4,5,4,4,4,3,6
No response,Ambitious,The economy,Yes,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,3
Made,Motivated,The economy,No,4,4,1,6,1,6,2,2,2,5,4,1,1,1,1,1,5,1,4,6,5,1,2,4,6,5
Made,Hard-working,Careers guidance,Yes,7,2,4,7,7,4,7,7,1,4,4,1,4,1,4,1,3,5,4,1,1,7,5,6,2,2
Made,Ambitious,The economy,No,4,4,5,6,6,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,3,2,2
No response,Hard-working,Personal experience,Yes,7,6,7,7,7,7,7,7,4,7,7,4,7,7,7,1,4,7,5,3,3,3,1,4,4,4
Made,Motivated,The economy,No,5,3,6,5,6,5,6,5,6,7,3,7,7,6,6,7,6,6,6,6,6,7,6,6,6,4
No response,Motivated,The economy,No,6,5,6,5,5,6,5,7,6,6,6,5,6,4,6,4,4,5,3,4,4,5,6,5,5,4
Born,Ambitious,Family or friends,No,4,3,6,5,7,3,2,6,3,3,3,4,4,7,7,3,3,5,2,2,4,3,3,3,4,3
Born,Risk-taker,Personal experience,Yes,4,6,2,4,1,4,5,5,5,5,5,5,5,4,6,2,5,5,5,3,2,3,4,5,4,4
Made,Hard-working,Personal experience,No,1,4,7,7,7,4,7,7,4,7,4,4,7,7,7,7,7,1,1,1,1,1,1,1,1,1
Made,Risk-taker,Personal experience,No,3,3,5,4,1,6,5,4,4,4,4,6,5,1,6,7,5,4,2,3,4,3,3,4,2,2
Made,Risk-taker,Personal experience,No,7,5,5,5,7,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5
Made,Hard-working,Careers guidance,Yes,3,2,2,2,5,6,3,5,5,6,6,6,6,5,3,2,4,6,5,4,6,3,3,3,5,5
Born,Risk-taker,Personal experience,No,6,4,4,4,5,7,3,2,2,2,2,2,2,3,5,3,3,5,3,3,4,1,3,2,3,4
Made,Ambitious,Personal experience,Yes,6,3,3,6,3,6,6,4,6,7,7,7,7,7,7,7,6,4,6,6,6,6,4,6,3,3
Made,Risk-taker,Personal experience,No,1,1,5,1,1,4,2,5,3,4,5,1,2,1,1,1,3,5,5,4,3,1,4,2,2,4
Made,Risk-taker,Teachers or studies,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,6,6,3,5,7,3
Born,Ambitious,Family or friends,Yes,5,3,5,5,2,4,3,3,6,6,6,3,5,3,5,7,4,4,2,2,2,1,2,2,5,2
Made,Hard-working,Personal experience,No,3,4,6,4,5,4,3,4,4,4,3,5,5,3,5,5,4,5,4,4,4,5,5,5,6,4
Born,Ready and prepared,Personal experience,No,3,4,7,7,1,5,7,6,4,7,6,6,6,6,6,1,4,4,4,4,4,4,4,4,5,4
Made,Ambitious,Family or friends,No,2,2,1,1,1,5,6,2,2,7,4,1,4,1,4,6,6,6,7,5,7,3,4,5,4,4
Born,Risk-taker,Personal experience,No,2,3,4,6,4,3,2,3,3,3,4,3,4,3,3,2,2,3,4,3,5,3,3,4,4,4
Made,Hard-working,The economy,Yes,2,2,5,2,1,5,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,1,3,3,2,2
Made,Hard-working,Family or friends,Yes,5,5,7,3,4,4,4,4,4,4,4,4,4,5,5,6,5,4,4,5,5,5,6,4,4,4
Born,Risk-taker,The economy,No,4,4,4,4,4,4,5,4,4,4,4,4,4,7,7,4,7,4,4,4,4,4,4,4,4,4
Made,Motivated,Family or friends,Yes,3,3,4,5,2,6,2,6,6,6,6,3,7,3,6,6,6,4,5,5,4,5,5,3,3,3
Made,Ambitious,Personal experience,No,4,4,3,5,5,5,5,5,5,5,5,5,5,6,5,6,5,4,3,5,4,5,5,5,5,3
Made,Ambitious,Careers guidance,No,6,5,5,5,5,5,5,5,6,5,5,6,5,6,6,3,5,4,4,4,4,4,5,4,4,4
Born,Successful,Family or friends,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,2,3,5,5
Made,Ambitious,Personal experience,No,5,2,5,7,7,2,2,3,1,2,1,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1
Made,Hard-working,Family or friends,Yes,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1
Born,Hard-working,Personal experience,No,6,6,6,6,1,6,7,7,7,7,7,5,7,7,7,5,7,4,4,1,7,4,7,7,6,2
Made,Hard-working,Desire,No,1,4,5,6,7,4,5,2,2,6,2,2,1,1,4,7,5,1,1,1,1,1,1,1,1,1
Made,Hard-working,Personal experience,No,4,1,2,6,6,7,6,6,7,6,4,6,6,6,6,7,6,6,7,5,4,7,6,5,5,4
Made,Ambitious,The economy,Yes,7,1,4,7,1,7,1,1,1,7,1,7,7,7,7,1,7,7,7,7,7,1,7,7,4,1
Made,Ambitious,The economy,Yes,7,1,4,7,1,7,1,1,1,7,1,7,7,7,7,1,7,7,7,7,7,1,7,7,4,1
Made,Successful,Family or friends,No,3,6,6,4,7,4,5,5,7,4,2,7,3,7,7,6,6,1,1,3,2,1,1,1,2,2
No response,Successful,Careers guidance,Yes,1,1,1,1,2,4,2,2,2,4,4,1,4,1,3,1,3,2,2,2,2,1,1,1,3,1
No response,Hard-working,Teachers or studies,Yes,4,4,6,6,6,4,5,5,5,6,5,4,3,3,5,6,6,4,4,1,1,2,1,4,6,4
Born,Risk-taker,The economy,Yes,5,6,6,4,5,6,7,6,4,5,6,7,3,2,4,5,6,6,5,5,7,5,7,3,6,7
Made,Ambitious,The economy,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Made,Motivated,Personal experience,No,2,6,2,5,2,2,5,2,5,6,6,5,2,6,5,6,6,6,4,2,2,2,2,2,4,3
Made,Risk-taker,Personal experience,No,1,1,3,1,2,7,3,1,1,7,5,2,2,1,4,1,4,4,4,1,2,4,1,1,4,2
Made,Motivated,Personal experience,No,4,4,7,7,7,3,7,4,1,5,1,2,5,1,4,1,1,4,4,1,1,4,2,2,2,1
Born,Risk-taker,Personal experience,No,5,4,7,6,6,6,6,6,4,7,3,3,7,5,4,6,3,4,4,4,4,4,4,3,3,3
Made,Risk-taker,Personal experience,No,2,4,4,2,1,5,5,2,5,5,2,7,4,4,6,6,6,4,4,4,5,3,3,5,6,3
Born,passionate,Personal experience,No,5,5,6,6,6,7,2,4,4,5,4,1,1,1,1,1,1,7,5,2,3,6,3,2,5,3
Made,Motivated,Personal experience,No,3,3,4,4,3,3,4,3,4,4,3,5,3,4,4,4,5,4,5,5,4,5,4,5,4,5
No response,Motivated,The economy,Yes,5,4,4,4,5,5,6,5,5,5,5,5,5,4,4,4,5,3,5,3,4,6,4,3,3,3
No response,Risk-taker,Personal experience,No,5,1,4,4,5,3,7,7,7,7,7,7,7,7,7,1,7,1,1,1,1,1,1,1,1,1
Born,Motivated,The economy,No,3,3,2,4,5,5,4,6,6,7,7,3,4,3,6,6,7,4,3,3,4,3,4,4,4,2
No response,Risk-taker,The economy,No,4,5,2,4,4,4,4,4,4,4,4,4,4,7,6,6,6,4,4,4,4,4,4,4,4,4
Born,Ambitious,Teachers or studies,Yes,5,3,4,6,5,6,6,5,7,7,5,6,5,6,4,6,5,5,5,5,4,2,4,1,4,6
Made,Hard-working,The economy,Yes,4,5,5,5,7,5,6,7,5,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4
Made,Risk-taker,Teachers or studies,No,4,3,5,4,4,5,4,5,3,4,2,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4
Made,Ambitious,The economy,Yes,6,5,6,6,4,7,7,4,6,6,6,6,7,7,7,7,7,6,5,5,5,4,3,6,6,4
Made,Hard-working,Personal experience,No,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,5,4,4,3,4,3,4,3,3,3,4
Born,LEADER,The economy,No,1,1,1,1,7,1,1,1,4,7,1,5,3,1,7,7,7,1,7,1,7,1,6,3,7,2
Made,Cutting corners,Teachers or studies,No,3,4,7,7,1,1,3,1,1,5,1,1,6,1,1,1,1,4,7,7,6,4,3,2,5,2
Made,Risk-taker,Personal experience,No,3,4,2,4,3,3,4,4,3,5,4,5,4,3,4,3,3,5,4,5,5,5,5,4,4,3
