"","city","year","month","volume","median","listings","inventory","date","salesBin"
"29","Abilene",2002,11,8485000,59400,643,5.1,2002.83333333333,"Medium"
"30","Abilene",2002,12,8150000,65000,649,5.1,2002.91666666667,"Medium"
"31","Abilene",2003,1,5385000,70000,668,5.4,2003,"Low"
"32","Abilene",2003,2,8500000,72300,716,5.7,2003.08333333333,"Medium"
"33","Abilene",2003,4,11270000,79700,763,6.1,2003.25,"Medium"
"34","Abilene",2003,5,12030000,79400,750,6,2003.33333333333,"Medium"
"35","Abilene",2003,6,11545000,71400,777,6.2,2003.41666666667,"Medium"
"36","Abilene",2003,7,13940000,75000,778,6.2,2003.5,"Medium"
"37","Abilene",2003,8,16230000,78200,731,5.7,2003.58333333333,"Medium"
"38","Abilene",2003,9,13350000,74300,730,5.6,2003.66666666667,"Medium"
"39","Abilene",2003,10,11215000,67300,721,5.5,2003.75,"Medium"
"40","Abilene",2003,11,10110000,66400,675,5.1,2003.83333333333,"Medium"
"41","Abilene",2003,12,12655000,66900,640,4.7,2003.91666666667,"Medium"
"42","Abilene",2004,1,6945000,66100,657,4.7,2004,"Medium"
"43","Abilene",2004,3,13635000,63900,668,4.7,2004.16666666667,"Medium"
"44","Abilene",2004,4,14475000,68600,696,4.7,2004.25,"Medium"
"45","Abilene",2004,5,13085000,71700,752,5.1,2004.33333333333,"Medium"
"46","Abilene",2004,6,16255000,79600,720,4.7,2004.41666666667,"Medium"
"47","Abilene",2004,10,12620000,81000,663,4.4,2004.75,"Medium"
"48","Abilene",2004,11,12375000,77500,630,4.1,2004.83333333333,"Medium"
"49","Abilene",2005,1,10255000,74200,570,3.7,2005,"Medium"
"50","Abilene",2005,2,11770000,74300,581,3.7,2005.08333333333,"Medium"
"51","Abilene",2005,4,16355000,80300,650,4.2,2005.25,"Medium"
"52","Abilene",2005,7,18495000,93500,657,4.1,2005.5,"Medium"
"53","Abilene",2005,8,24065000,97500,638,3.9,2005.58333333333,"Medium"
"54","Abilene",2005,9,17145000,92800,644,3.9,2005.66666666667,"Medium"
"55","Abilene",2005,10,16365000,92300,601,3.6,2005.75,"Medium"
"56","Abilene",2006,1,11890000,90800,559,3.4,2006,"Medium"
"57","Abilene",2006,2,16875000,98200,561,3.4,2006.08333333333,"Medium"
"58","Abilene",2006,4,17955000,1e+05,683,4.2,2006.25,"Medium"
"59","Abilene",2006,5,20400000,103000,736,4.5,2006.33333333333,"Medium"
"60","Abilene",2006,6,26620000,99800,786,4.8,2006.41666666667,"Medium"
"61","Abilene",2006,7,19160000,93200,804,4.9,2006.5,"Medium"
"62","Abilene",2006,8,25735000,104000,812,5,2006.58333333333,"Medium"
"63","Abilene",2006,9,19850000,109500,817,5,2006.66666666667,"Medium"
"64","Abilene",2006,10,17100000,97100,797,4.9,2006.75,"Medium"
"65","Abilene",2006,12,17985000,103100,724,4.4,2006.91666666667,"Medium"
"66","Abilene",2007,1,13335000,91700,746,4.4,2007,"Medium"
"67","Abilene",2007,2,16105000,1e+05,774,4.6,2007.08333333333,"Medium"
"68","Abilene",2007,3,20410000,86500,816,4.7,2007.16666666667,"Medium"
"69","Abilene",2007,4,20090000,89100,807,4.6,2007.25,"Medium"
"70","Abilene",2007,5,24410000,99500,849,4.8,2007.33333333333,"Medium"
"71","Abilene",2007,8,25015000,113700,948,5.3,2007.58333333333,"Medium"
"72","Abilene",2007,11,12017671,102600,892,5.2,2007.83333333333,"Medium"
"73","Abilene",2007,12,11134962,103000,856,5.1,2007.91666666667,"Medium"
"74","Abilene",2008,1,9089942,88800,859,5.3,2008,"Low"
"75","Abilene",2008,2,15970270,111900,899,5.6,2008.08333333333,"Medium"
"76","Abilene",2008,3,15496685,97500,923,5.9,2008.16666666667,"Medium"
"77","Abilene",2008,4,18288157,106900,941,6.1,2008.25,"Medium"
"78","Abilene",2008,5,21314933,104000,951,6.3,2008.33333333333,"Medium"
"79","Abilene",2008,6,21146068,110400,1000,6.7,2008.41666666667,"Medium"
"80","Abilene",2008,7,19502253,106400,1013,7.1,2008.5,"Medium"
"81","Abilene",2008,8,16067354,111200,966,7,2008.58333333333,"Medium"
"82","Abilene",2008,9,15643014,106900,992,7.2,2008.66666666667,"Medium"
"83","Abilene",2008,10,15057270,131600,860,6.3,2008.75,"Medium"
"84","Abilene",2008,11,10792418,1e+05,863,6.3,2008.83333333333,"Low"
"85","Abilene",2008,12,14151971,110000,821,6,2008.91666666667,"Medium"
"86","Abilene",2009,1,8414801,92900,861,6.3,2009,"Low"
"87","Abilene",2009,2,10921111,95700,869,6.5,2009.08333333333,"Medium"
"88","Abilene",2009,3,15148755,106400,891,6.7,2009.16666666667,"Medium"
"89","Abilene",2009,4,19565825,113800,890,6.7,2009.25,"Medium"
"90","Abilene",2009,5,16596602,105500,911,7,2009.33333333333,"Medium"
"91","Abilene",2009,6,25342963,119300,802,6.2,2009.41666666667,"Medium"
"92","Abilene",2009,7,21925623,126200,808,6.3,2009.5,"Medium"
"93","Abilene",2009,8,17827080,106900,785,6,2009.58333333333,"Medium"
"94","Abilene",2009,10,18076723,96800,734,5.5,2009.75,"Medium"
"95","Abilene",2009,11,16724086,114300,737,5.4,2009.83333333333,"Medium"
"96","Abilene",2009,12,15591347,111400,705,5.2,2009.91666666667,"Medium"
"97","Abilene",2010,1,9130783,112200,868,6.4,2010,"Low"
"98","Abilene",2010,2,10372904,98300,830,6.1,2010.08333333333,"Low"
"99","Abilene",2010,3,16517713,114000,854,6.3,2010.16666666667,"Medium"
"100","Abilene",2010,4,18788002,103600,859,6.3,2010.25,"Medium"
"101","Abilene",2010,5,22804393,99300,914,6.5,2010.33333333333,"Medium"
"102","Abilene",2010,6,23216943,127900,932,6.7,2010.41666666667,"Medium"
"103","Abilene",2010,7,22363123,127300,915,6.6,2010.5,"Medium"
"104","Abilene",2010,8,17504580,122000,936,6.7,2010.58333333333,"Medium"
"105","Abilene",2010,9,15475763,121300,899,6.5,2010.66666666667,"Medium"
"106","Abilene",2010,10,14570529,111900,863,6.4,2010.75,"Medium"
"107","Abilene",2010,11,11422741,87900,851,6.4,2010.83333333333,"Medium"
"108","Abilene",2010,12,15289470,118300,830,6.3,2010.91666666667,"Medium"
"109","Abilene",2011,1,8834493,123300,809,6.1,2011,"Low"
"110","Abilene",2011,2,10250107,111200,822,6.3,2011.08333333333,"Low"
"111","Abilene",2011,5,22374531,115300,863,6.7,2011.33333333333,"Medium"
"112","Abilene",2011,6,26635498,105400,840,6.4,2011.41666666667,"Medium"
"113","Abilene",2011,7,22734236,117900,848,6.4,2011.5,"Medium"
"114","Abilene",2011,9,19329727,121400,763,5.5,2011.66666666667,"Medium"
"115","Abilene",2011,10,18916970,111100,743,5.3,2011.75,"Medium"
"116","Abilene",2011,11,17679449,127300,712,5,2011.83333333333,"Medium"
"117","Abilene",2012,2,16905161,102000,720,4.8,2012.08333333333,"Medium"
"118","Abilene",2012,3,20922281,112000,723,4.7,2012.16666666667,"Medium"
"119","Abilene",2012,4,20909533,104400,722,4.6,2012.25,"Medium"
"120","Abilene",2012,5,28521200,111600,1125,7.1,2012.33333333333,"Medium"
"121","Abilene",2012,7,26033906,127500,1176,7.5,2012.5,"Medium"
"122","Abilene",2012,8,31687638,130600,1132,7.1,2012.58333333333,"Medium"
"123","Abilene",2012,9,19821491,123200,1095,6.8,2012.66666666667,"Medium"
"124","Abilene",2012,10,24016275,103200,1075,6.5,2012.75,"Medium"
"125","Abilene",2012,11,19753059,125900,1036,6.3,2012.83333333333,"Medium"
"126","Abilene",2012,12,19985676,106200,952,5.7,2012.91666666667,"Medium"
"127","Abilene",2013,1,15794494,125300,966,5.7,2013,"Medium"
"128","Abilene",2013,3,19609711,102500,958,5.7,2013.16666666667,"Medium"
"129","Abilene",2013,5,31901380,130000,923,5.3,2013.33333333333,"Medium"
"130","Abilene",2013,6,29454125,127300,960,5.5,2013.41666666667,"Medium"
"131","Abilene",2013,7,32547446,140000,969,5.4,2013.5,"Medium"
"132","Abilene",2013,8,30777727,120000,976,5.4,2013.58333333333,"Medium"
"133","Abilene",2013,9,26237106,127500,985,5.4,2013.66666666667,"Medium"
"134","Abilene",2013,10,21781187,119000,993,5.5,2013.75,"Medium"
"135","Abilene",2013,11,19950273,113200,946,5.2,2013.83333333333,"Medium"
"136","Abilene",2013,12,18412418,104700,938,5.2,2013.91666666667,"Medium"
"137","Abilene",2014,1,15391738,117000,922,5.1,2014,"Medium"
"138","Abilene",2014,2,17944719,127600,906,5,2014.08333333333,"Medium"
"139","Abilene",2014,3,21615979,112400,929,5.1,2014.16666666667,"Medium"
"140","Abilene",2014,4,25070931,124500,965,5.4,2014.25,"Medium"
"141","Abilene",2014,5,26615130,129300,1001,5.7,2014.33333333333,"Medium"
"142","Abilene",2014,6,34398506,135200,1023,5.8,2014.41666666667,"Medium"
"143","Abilene",2014,7,35861350,145800,1033,5.8,2014.5,"Medium"
"144","Abilene",2014,8,29671329,129200,1024,5.8,2014.58333333333,"Medium"
"145","Abilene",2014,9,30904319,135900,1012,5.8,2014.66666666667,"Medium"
"146","Abilene",2014,10,25431388,122400,987,5.6,2014.75,"Medium"
"147","Abilene",2014,11,24120554,132200,941,5.3,2014.83333333333,"Medium"
"148","Abilene",2014,12,23959468,130000,823,4.6,2014.91666666667,"Medium"
"149","Abilene",2015,2,19834263,126500,767,4.1,2015.08333333333,"Medium"
"150","Abilene",2015,3,31869437,136800,821,4.4,2015.16666666667,"Medium"
"151","Abilene",2015,4,28301159,129600,891,4.7,2015.25,"Medium"
"152","Abilene",2015,6,41396230,141500,965,5,2015.41666666667,"Medium"
"153","Abilene",2015,7,45845730,148700,986,5,2015.5,"Medium"
"154","Amarillo",2000,1,8860000,80000,972,5.3,2000,"Medium"
"155","Amarillo",2000,2,13875000,78300,937,5.1,2000.08333333333,"Medium"
"156","Amarillo",2000,3,17930000,74800,995,5.5,2000.16666666667,"Medium"
"157","Amarillo",2000,4,16955000,87700,985,5.5,2000.25,"Medium"
"158","Amarillo",2000,5,19420000,81100,1020,5.6,2000.33333333333,"Medium"
"159","Amarillo",2000,6,20035000,84100,1055,5.9,2000.41666666667,"Medium"
"160","Amarillo",2000,7,20430000,94300,1193,6.8,2000.5,"Medium"
"161","Amarillo",2000,9,1.6e+07,91000,1248,6.9,2000.66666666667,"Medium"
"162","Amarillo",2000,10,16810000,89000,1191,6.7,2000.75,"Medium"
"163","Amarillo",2000,12,15800000,88300,1092,6.3,2000.91666666667,"Medium"
"164","Amarillo",2001,1,14445000,89000,1087,6.2,2001,"Medium"
"165","Amarillo",2001,2,15345000,87100,1037,5.9,2001.08333333333,"Medium"
"166","Amarillo",2001,3,19260000,86300,1030,5.9,2001.16666666667,"Medium"
"167","Amarillo",2001,5,22225000,88300,1064,5.9,2001.33333333333,"Medium"
"168","Amarillo",2001,6,25135000,91200,1092,6,2001.41666666667,"Medium"
"169","Amarillo",2001,7,2.5e+07,97100,1141,6.2,2001.5,"Medium"
"170","Amarillo",2001,8,29150000,93900,1144,6.2,2001.58333333333,"Medium"
"171","Amarillo",2001,9,19035000,87600,1137,6.1,2001.66666666667,"Medium"
"172","Amarillo",2001,10,22530000,88400,1137,5.9,2001.75,"Medium"
"173","Amarillo",2001,12,18270000,96000,1072,5.5,2001.91666666667,"Medium"
"174","Amarillo",2002,1,14955000,83300,1071,5.5,2002,"Medium"
"175","Amarillo",2002,2,18440000,86400,1090,5.5,2002.08333333333,"Medium"
"176","Amarillo",2002,3,20235000,85300,1046,5.2,2002.16666666667,"Medium"
"177","Amarillo",2002,4,21345000,89100,1106,5.5,2002.25,"Medium"
"178","Amarillo",2002,8,21345000,93900,1256,6.6,2002.58333333333,"Medium"
"179","Amarillo",2002,9,22045000,95800,1214,6.4,2002.66666666667,"Medium"
"180","Amarillo",2002,10,21245000,91900,1242,6.6,2002.75,"Medium"
"181","Amarillo",2002,11,19605000,95000,1249,6.6,2002.83333333333,"Medium"
"182","Amarillo",2002,12,14150000,79600,1205,6.4,2002.91666666667,"Medium"
"183","Amarillo",2003,1,14985000,79600,1205,6.4,2003,"Medium"
"184","Amarillo",2003,2,17255000,86700,1173,6.2,2003.08333333333,"Medium"
"185","Amarillo",2003,3,22330000,95500,1293,6.9,2003.16666666667,"Medium"
"186","Amarillo",2003,4,23455000,88900,1279,6.7,2003.25,"Medium"
"187","Amarillo",2003,5,28375000,98300,1360,7,2003.33333333333,"Medium"
"188","Amarillo",2003,7,32085000,93500,1412,6.9,2003.5,"Medium"
"189","Amarillo",2003,8,35820000,107400,1422,6.7,2003.58333333333,"Medium"
"190","Amarillo",2003,10,26325000,95600,1387,6.1,2003.75,"Medium"
"191","Amarillo",2003,11,23395000,95000,1349,5.9,2003.83333333333,"Medium"
"192","Amarillo",2003,12,22975000,90900,1242,5.3,2003.91666666667,"Medium"
"193","Amarillo",2004,2,23885000,94500,1219,5.1,2004.08333333333,"Medium"
"194","Amarillo",2004,3,27265000,93500,1186,4.8,2004.16666666667,"Medium"
"195","Amarillo",2004,4,30270000,95500,1196,4.8,2004.25,"Medium"
"196","Amarillo",2004,5,32160000,94400,1199,4.8,2004.33333333333,"Medium"
"197","Amarillo",2004,6,38385000,99600,1248,4.9,2004.41666666667,"Medium"
"198","Amarillo",2004,7,39300000,106100,1250,4.8,2004.5,"Medium"
"199","Amarillo",2004,8,30490000,98400,1246,4.9,2004.58333333333,"Medium"
"200","Amarillo",2004,9,30635000,89700,1241,4.9,2004.66666666667,"Medium"
"201","Amarillo",2004,10,24165000,98000,1196,4.7,2004.75,"Medium"
"202","Amarillo",2004,12,29985000,105500,1090,4.3,2004.91666666667,"Medium"
"203","Amarillo",2005,1,24070000,93900,1072,4.2,2005,"Medium"
"204","Amarillo",2005,2,29525000,108300,1079,4.2,2005.08333333333,"Medium"
"205","Amarillo",2005,3,33065000,109200,1023,3.9,2005.16666666667,"Medium"
"206","Amarillo",2005,6,46910000,117000,1156,4.4,2005.41666666667,"Medium"
"207","Amarillo",2005,7,37715000,107200,1221,4.6,2005.5,"Medium"
"208","Amarillo",2005,8,42500000,112600,1224,4.6,2005.58333333333,"Medium"
"209","Amarillo",2005,9,41940000,111800,1201,4.4,2005.66666666667,"Medium"
"210","Amarillo",2005,11,30815000,112400,1240,4.8,2005.83333333333,"Medium"
"211","Amarillo",2005,12,25900000,102500,1121,4.3,2005.91666666667,"Medium"
"212","Amarillo",2006,3,4.1e+07,105100,1238,4.8,2006.16666666667,"Medium"
"213","Amarillo",2006,4,31135000,108700,1248,4.9,2006.25,"Medium"
"214","Amarillo",2006,5,4.9e+07,123000,1286,5,2006.33333333333,"Medium"
"215","Amarillo",2006,7,46595000,124300,1439,5.5,2006.5,"Medium"
"216","Amarillo",2006,10,37585000,107400,1435,5.1,2006.75,"Medium"
"217","Amarillo",2006,11,31405000,114200,1393,4.9,2006.83333333333,"Medium"
"218","Amarillo",2006,12,32930000,105200,1252,4.4,2006.91666666667,"Medium"
"219","Amarillo",2007,1,22380000,112600,1304,4.5,2007,"Medium"
"220","Amarillo",2007,2,31655000,105000,1273,4.4,2007.08333333333,"Medium"
"221","Amarillo",2007,4,37810000,118400,1313,4.5,2007.25,"Medium"
"222","Amarillo",2007,7,4.5e+07,114400,1549,5.3,2007.5,"Medium"
"223","Amarillo",2007,8,50625000,133100,1584,5.5,2007.58333333333,"Medium"
"224","Amarillo",2007,9,34370000,121800,1578,5.6,2007.66666666667,"Medium"
"225","Amarillo",2007,12,31950000,129000,1373,5,2007.91666666667,"Medium"
"226","Amarillo",2008,1,26055000,123600,1421,5.2,2008,"Medium"
"227","Amarillo",2008,2,37900000,122700,1413,5.1,2008.08333333333,"Medium"
"228","Amarillo",2008,4,45755000,124900,1387,5,2008.25,"Medium"
"229","Amarillo",2008,5,41435000,122200,1498,5.5,2008.33333333333,"Medium"
"230","Amarillo",2008,6,42955000,122600,1519,5.7,2008.41666666667,"Medium"
"231","Amarillo",2008,8,40730000,129500,1519,5.7,2008.58333333333,"Medium"
"232","Amarillo",2008,10,34800000,130000,1474,5.6,2008.75,"Medium"
"233","Amarillo",2008,11,19235000,116500,1471,5.8,2008.83333333333,"Medium"
"234","Amarillo",2008,12,22755000,117900,1437,5.7,2008.91666666667,"Medium"
"235","Amarillo",2009,1,22330000,127300,1430,5.8,2009,"Medium"
"236","Amarillo",2009,2,24005000,118800,1458,6.1,2009.08333333333,"Medium"
"237","Amarillo",2009,3,27975000,121200,1470,6.3,2009.16666666667,"Medium"
"238","Amarillo",2009,4,31570000,126000,1533,6.7,2009.25,"Medium"
"239","Amarillo",2009,5,36520000,129500,1506,6.7,2009.33333333333,"Medium"
"240","Amarillo",2009,6,46045000,126000,1543,6.8,2009.41666666667,"Medium"
"241","Amarillo",2009,7,36730000,124600,1588,7.2,2009.5,"Medium"
"242","Amarillo",2009,8,34305000,124700,1589,7.3,2009.58333333333,"Medium"
"243","Amarillo",2009,9,32745000,117600,1520,7,2009.66666666667,"Medium"
"244","Amarillo",2009,11,37462352,123500,1360,5.9,2009.83333333333,"Medium"
"245","Amarillo",2010,1,16555053,131200,1311,5.7,2010,"Medium"
"246","Amarillo",2010,2,23246256,115000,1338,5.8,2010.08333333333,"Medium"
"247","Amarillo",2010,6,42959136,139400,1449,6.1,2010.41666666667,"Medium"
"248","Amarillo",2010,7,25534386,126200,1643,7,2010.5,"Medium"
"249","Amarillo",2010,8,42336958,130300,1592,6.8,2010.58333333333,"Medium"
"250","Amarillo",2010,9,28885143,125800,1550,6.8,2010.66666666667,"Medium"
"251","Amarillo",2010,10,31979853,125500,1527,6.8,2010.75,"Medium"
"252","Amarillo",2010,12,24975000,118900,1381,6.5,2010.91666666667,"Medium"
"253","Amarillo",2011,1,16986129,122700,1480,6.9,2011,"Medium"
"254","Amarillo",2011,2,21097782,113800,1409,6.6,2011.08333333333,"Medium"
"255","Amarillo",2011,3,31326971,123500,1435,6.7,2011.16666666667,"Medium"
"256","Amarillo",2011,4,34340022,126200,1470,7.1,2011.25,"Medium"
"257","Amarillo",2011,5,34842734,126600,1507,7.5,2011.33333333333,"Medium"
"258","Amarillo",2011,6,43981120,136000,1513,7.5,2011.41666666667,"Medium"
"259","Amarillo",2011,8,40411846,137100,1534,7,2011.58333333333,"Medium"
"260","Amarillo",2011,9,30498652,128000,1496,6.8,2011.66666666667,"Medium"
"261","Amarillo",2011,10,33245352,126800,1147,5.2,2011.75,"Medium"
"262","Amarillo",2011,11,30877378,128100,1328,5.9,2011.83333333333,"Medium"
"263","Amarillo",2011,12,28348675,126700,1153,5.1,2011.91666666667,"Medium"
"264","Amarillo",2012,1,20409784,125500,1302,5.7,2012,"Medium"
"265","Amarillo",2012,2,22084286,122500,1277,5.6,2012.08333333333,"Medium"
"266","Amarillo",2012,3,36909154,131000,1315,5.7,2012.16666666667,"Medium"
"267","Amarillo",2012,5,47384870,145000,1373,5.9,2012.33333333333,"Medium"
"268","Amarillo",2012,6,47567541,131500,1400,5.9,2012.41666666667,"Medium"
"269","Amarillo",2012,9,41571476,136600,1335,5.7,2012.66666666667,"Medium"
"270","Amarillo",2012,10,39504208,138500,1309,5.5,2012.75,"Medium"
"271","Amarillo",2012,11,36918379,121500,1252,5.2,2012.83333333333,"Medium"
"272","Amarillo",2012,12,35395056,128300,1124,4.6,2012.91666666667,"Medium"
"273","Amarillo",2013,1,26444725,115000,1215,4.9,2013,"Medium"
"274","Amarillo",2013,2,26609836,127700,1184,4.8,2013.08333333333,"Medium"
"275","Amarillo",2013,3,38218836,126200,1130,4.5,2013.16666666667,"Medium"
"276","Amarillo",2013,4,46774790,138900,1209,4.8,2013.25,"Medium"
"277","Amarillo",2013,5,47772765,137900,1346,5.2,2013.33333333333,"Medium"
"278","Amarillo",2013,6,45613832,145100,1366,5.4,2013.41666666667,"Medium"
"279","Amarillo",2013,7,50658875,149700,1374,5.3,2013.5,"Medium"
"280","Amarillo",2013,8,48385038,145600,1385,5.4,2013.58333333333,"Medium"
"281","Amarillo",2013,9,42851137,139700,1367,5.4,2013.66666666667,"Medium"
"282","Amarillo",2013,10,42109011,143700,1296,5.1,2013.75,"Medium"
"283","Amarillo",2014,1,30053425,137500,1183,4.7,2014,"Medium"
"284","Amarillo",2014,2,32266720,139000,1146,4.5,2014.08333333333,"Medium"
"285","Amarillo",2014,3,37477782,138100,1160,4.6,2014.16666666667,"Medium"
"286","Amarillo",2014,4,44299103,139400,1202,4.8,2014.25,"Medium"
"287","Amarillo",2014,5,46266884,137000,1243,5,2014.33333333333,"Medium"
"288","Amarillo",2014,6,59577665,145700,1304,5.1,2014.41666666667,"Medium"
"289","Amarillo",2014,7,54629643,150900,1352,5.3,2014.5,"Medium"
"290","Amarillo",2014,8,49714220,152500,1337,5.2,2014.58333333333,"Medium"
"291","Amarillo",2014,9,45370534,136700,1284,5,2014.66666666667,"Medium"
"292","Amarillo",2014,10,43330229,141100,1291,5,2014.75,"Medium"
"293","Amarillo",2014,12,42276704,145200,1106,4.3,2014.91666666667,"Medium"
"294","Amarillo",2015,1,33188726,138500,1120,4.3,2015,"Medium"
"295","Amarillo",2015,3,53603130,140900,1051,3.9,2015.16666666667,"Medium"
"296","Amarillo",2015,4,50570482,147200,1041,3.8,2015.25,"Medium"
"297","Amarillo",2015,5,61402581,157900,1085,3.9,2015.33333333333,"Medium"
"298","Amarillo",2015,6,61748196,152100,1213,4.4,2015.41666666667,"Medium"
"299","Amarillo",2015,7,62261916,149700,1247,4.5,2015.5,"Medium"
"300","Arlington",2000,1,26220683,94000,1417,3.7,2000,"Medium"
"301","Arlington",2000,2,36618555,94300,1402,3.6,2000.08333333333,"Medium"
"302","Arlington",2000,4,54108160,99000,1346,3.4,2000.25,"Medium"
"303","Arlington",2000,5,58688050,103000,1360,3.4,2000.33333333333,"Medium"
"304","Arlington",2000,7,54540495,105800,1434,3.6,2000.5,"Medium"
"305","Arlington",2000,8,60875199,103400,1417,3.5,2000.58333333333,"Medium"
"306","Arlington",2000,9,52509988,110500,1418,3.5,2000.66666666667,"Medium"
"307","Arlington",2000,10,48300376,104100,1418,3.4,2000.75,"Medium"
"308","Arlington",2000,11,41776960,107700,1370,3.3,2000.83333333333,"Medium"
"309","Arlington",2000,12,46705325,105700,1306,3.2,2000.91666666667,"Medium"
"310","Arlington",2001,1,34187727,105700,1428,3.4,2001,"Medium"
"311","Arlington",2001,2,48908661,106400,1466,3.5,2001.08333333333,"Medium"
"312","Arlington",2001,6,67744182,108500,1627,3.8,2001.41666666667,"High"
"313","Arlington",2001,7,66350350,116000,1693,3.9,2001.5,"Medium"
"314","Arlington",2001,8,65080743,113600,1616,3.7,2001.58333333333,"Medium"
"315","Arlington",2001,9,56728723,112000,1656,3.8,2001.66666666667,"Medium"
"316","Arlington",2001,10,51328965,113200,1647,3.8,2001.75,"Medium"
"317","Arlington",2001,11,53024458,111700,1583,3.6,2001.83333333333,"Medium"
"318","Arlington",2001,12,47654250,116400,1464,3.3,2001.91666666667,"Medium"
"319","Arlington",2002,1,39966772,112000,1542,3.4,2002,"Medium"
"320","Arlington",2002,2,46058048,107500,1653,3.7,2002.08333333333,"Medium"
"321","Arlington",2002,4,61356437,111800,1683,3.8,2002.25,"Medium"
"322","Arlington",2002,6,64673182,116300,1811,4.1,2002.41666666667,"Medium"
"323","Arlington",2002,7,66954143,119100,1925,4.4,2002.5,"Medium"
"324","Arlington",2002,8,62199241,117200,1909,4.4,2002.58333333333,"Medium"
"325","Arlington",2002,9,54118102,116100,1955,4.5,2002.66666666667,"Medium"
"326","Arlington",2002,10,56866208,116000,2050,4.7,2002.75,"Medium"
"327","Arlington",2002,11,47740480,116600,1999,4.6,2002.83333333333,"Medium"
"328","Arlington",2002,12,49595229,117100,1976,4.6,2002.91666666667,"Medium"
"329","Arlington",2003,1,42505826,114500,2155,5,2003,"Medium"
"330","Arlington",2003,2,51593837,119500,2194,5,2003.08333333333,"Medium"
"331","Arlington",2003,4,52103275,113800,2478,5.8,2003.25,"Medium"
"332","Arlington",2003,5,67131982,118000,2544,5.9,2003.33333333333,"Medium"
"333","Arlington",2003,7,73194692,123500,2799,6.5,2003.5,"Medium"
"334","Arlington",2003,9,63432091,119200,2708,6.2,2003.66666666667,"Medium"
"335","Arlington",2003,11,51186383,123100,2539,5.8,2003.83333333333,"Medium"
"336","Arlington",2003,12,55076568,120200,2426,5.5,2003.91666666667,"Medium"
"337","Arlington",2004,1,36572326,114500,2638,6,2004,"Medium"
"338","Arlington",2004,2,48048923,120400,2709,6.2,2004.08333333333,"Medium"
"339","Arlington",2004,3,66902880,117000,2823,6.4,2004.16666666667,"Medium"
"340","Arlington",2004,5,72401436,118300,2922,6.5,2004.33333333333,"High"
"341","Arlington",2004,7,79609568,123800,2900,6.4,2004.5,"High"
"342","Arlington",2004,8,72336231,121500,2833,6.3,2004.58333333333,"Medium"
"343","Arlington",2004,9,66141732,120300,2777,6.1,2004.66666666667,"Medium"
"344","Arlington",2004,10,63006978,124100,2769,6.1,2004.75,"Medium"
"345","Arlington",2004,11,52819945,123700,2640,5.8,2004.83333333333,"Medium"
"346","Arlington",2004,12,63363369,123300,2475,5.4,2004.91666666667,"Medium"
"347","Arlington",2005,1,43605670,120500,2671,5.7,2005,"Medium"
"348","Arlington",2005,2,48747730,122200,2828,6.1,2005.08333333333,"Medium"
"349","Arlington",2005,3,68782581,123900,2890,6.2,2005.16666666667,"Medium"
"350","Arlington",2005,4,78286558,124600,2954,6.3,2005.25,"High"
"351","Arlington",2005,5,81002282,124200,2963,6.2,2005.33333333333,"High"
"352","Arlington",2005,6,97579136,127000,3102,6.4,2005.41666666667,"High"
