"","weight","Time","Chick","Diet"
"447",250,20,"39","A"
"448",272,21,"39","A"
"449",41,0,"40","A"
"450",55,2,"40","A"
"451",66,4,"40","A"
"452",79,6,"40","A"
"453",101,8,"40","A"
"454",120,10,"40","A"
"455",154,12,"40","A"
"456",182,14,"40","A"
"457",215,16,"40","A"
"458",262,18,"40","A"
"459",295,20,"40","A"
"460",321,21,"40","A"
"461",42,0,"41","B"
"462",51,2,"41","B"
"463",66,4,"41","B"
"464",85,6,"41","B"
"465",103,8,"41","B"
"466",124,10,"41","B"
"467",155,12,"41","B"
"468",153,14,"41","B"
"469",175,16,"41","B"
"470",184,18,"41","B"
"471",199,20,"41","B"
"472",204,21,"41","B"
"473",42,0,"42","B"
"474",49,2,"42","B"
"475",63,4,"42","B"
"476",84,6,"42","B"
"477",103,8,"42","B"
"478",126,10,"42","B"
"479",160,12,"42","B"
"480",174,14,"42","B"
"481",204,16,"42","B"
"482",234,18,"42","B"
"483",269,20,"42","B"
"484",281,21,"42","B"
"485",42,0,"43","B"
"486",55,2,"43","B"
"487",69,4,"43","B"
"488",96,6,"43","B"
"489",131,8,"43","B"
"490",157,10,"43","B"
"491",184,12,"43","B"
"492",188,14,"43","B"
"493",197,16,"43","B"
"494",198,18,"43","B"
"495",199,20,"43","B"
"496",200,21,"43","B"
"497",42,0,"44","B"
"498",51,2,"44","B"
"499",65,4,"44","B"
"500",86,6,"44","B"
"501",103,8,"44","B"
"502",118,10,"44","B"
"503",127,12,"44","B"
"504",138,14,"44","B"
"505",145,16,"44","B"
"506",146,18,"44","B"
"507",41,0,"45","B"
"508",50,2,"45","B"
"509",61,4,"45","B"
"510",78,6,"45","B"
"511",98,8,"45","B"
"512",117,10,"45","B"
"513",135,12,"45","B"
"514",141,14,"45","B"
"515",147,16,"45","B"
"516",174,18,"45","B"
"517",197,20,"45","B"
"518",196,21,"45","B"
"519",40,0,"46","B"
"520",52,2,"46","B"
"521",62,4,"46","B"
"522",82,6,"46","B"
"523",101,8,"46","B"
"524",120,10,"46","B"
"525",144,12,"46","B"
"526",156,14,"46","B"
"527",173,16,"46","B"
"528",210,18,"46","B"
"529",231,20,"46","B"
"530",238,21,"46","B"
"531",41,0,"47","B"
"532",53,2,"47","B"
"533",66,4,"47","B"
"534",79,6,"47","B"
"535",100,8,"47","B"
"536",123,10,"47","B"
"537",148,12,"47","B"
"538",157,14,"47","B"
"539",168,16,"47","B"
"540",185,18,"47","B"
"541",210,20,"47","B"
"542",205,21,"47","B"
"543",39,0,"48","B"
"544",50,2,"48","B"
"545",62,4,"48","B"
"546",80,6,"48","B"
"547",104,8,"48","B"
"548",125,10,"48","B"
"549",154,12,"48","B"
"550",170,14,"48","B"
"551",222,16,"48","B"
"552",261,18,"48","B"
"553",303,20,"48","B"
"554",322,21,"48","B"
"555",40,0,"49","B"
"556",53,2,"49","B"
"557",64,4,"49","B"
"558",85,6,"49","B"
"559",108,8,"49","B"
"560",128,10,"49","B"
"561",152,12,"49","B"
"562",166,14,"49","B"
"563",184,16,"49","B"
"564",203,18,"49","B"
"565",233,20,"49","B"
"566",237,21,"49","B"
"567",41,0,"50","B"
"568",54,2,"50","B"
"569",67,4,"50","B"
"570",84,6,"50","B"
"571",105,8,"50","B"
"572",122,10,"50","B"
"573",155,12,"50","B"
"574",175,14,"50","B"
"575",205,16,"50","B"
"576",234,18,"50","B"
"577",264,20,"50","B"
"578",264,21,"50","B"
